"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"com.twitter.benchmark.CollectionsBenchmark.existsEmptinessAfter","thrpt",1,25,177075.280901,3944.859429,"ops/s"
"com.twitter.benchmark.CollectionsBenchmark.existsEmptinessAfter:·gc.alloc.rate","thrpt",1,25,15.436251,0.343954,"MB/sec"
"com.twitter.benchmark.CollectionsBenchmark.existsEmptinessAfter:·gc.alloc.rate.norm","thrpt",1,25,96.000244,0.000006,"B/op"
"com.twitter.benchmark.CollectionsBenchmark.existsEmptinessAfter:·gc.churn.PS_Eden_Space","thrpt",1,25,16.360520,25.157782,"MB/sec"
"com.twitter.benchmark.CollectionsBenchmark.existsEmptinessAfter:·gc.churn.PS_Eden_Space.norm","thrpt",1,25,101.835848,157.127001,"B/op"
"com.twitter.benchmark.CollectionsBenchmark.existsEmptinessAfter:·gc.count","thrpt",1,25,5.000000,NaN,"counts"
"com.twitter.benchmark.CollectionsBenchmark.existsEmptinessAfter:·gc.time","thrpt",1,25,2.000000,NaN,"ms"
"com.twitter.benchmark.CollectionsBenchmark.existsEmptinessBefore","thrpt",1,25,169447.375528,3307.993201,"ops/s"
"com.twitter.benchmark.CollectionsBenchmark.existsEmptinessBefore:·gc.alloc.rate","thrpt",1,25,14.769044,0.288409,"MB/sec"
"com.twitter.benchmark.CollectionsBenchmark.existsEmptinessBefore:·gc.alloc.rate.norm","thrpt",1,25,96.000255,0.000005,"B/op"
"com.twitter.benchmark.CollectionsBenchmark.existsEmptinessBefore:·gc.churn.PS_Eden_Space","thrpt",1,25,9.500856,24.632251,"MB/sec"
"com.twitter.benchmark.CollectionsBenchmark.existsEmptinessBefore:·gc.churn.PS_Eden_Space.norm","thrpt",1,25,61.638981,159.817572,"B/op"
"com.twitter.benchmark.CollectionsBenchmark.existsEmptinessBefore:·gc.count","thrpt",1,25,2.000000,NaN,"counts"
"com.twitter.benchmark.CollectionsBenchmark.existsEmptinessBefore:·gc.time","thrpt",1,25,1.000000,NaN,"ms"
